ProviderID,Provider Name,Email,Postal address,Centre address,Telephone no,House Number,StreetName,Suburb,Postal Code,Website,ContactName,ContactSurname,ID
1335,ST. HELENABAAI CLC,,,"ST HELENABAAI PRIMER, SKOOLSTRAAT, LAINGVILLE",072-5501231,Rough Work,ST HELENABAAI PRIMER,SKOOLSTRAAT,,,,,271
1337,Staffing Direct Training Academy (Pty) Ltd,administrator@staffingdirect.co.za,2 Gladstone Road Boston Bellville 7530,2 Gladstone Road Boston Bellville 7530,021-948 3451,Rough Work,2 Gladstone Road Boston Bellville 7530,,7530,,,,272
1338,Staffing Direct Training Academy Pty Ltd,michelle@staffingdirect.co.za,P.O Box 704 Bellville 7535,2 Gladstone Street Boston Bellville Western Cape 7530,021- 948-3451,Rough Work,2 Gladstone Street Boston Bellville Western Cape 7530,,7530,,,,273
1339,STALLION LEARNING CENTRE PTY LTD ,info@stallion.co.za,,85 George Blake Road Plankenbrug Stellenbosch,011-533 8876,Rough Work,85 George Blake Road Plankenbrug Stellenbosch,,,,,,274
1340,STAWELKLIP PRIMER,,,"STAWELKLIP PRIM, STAWELKLIP, PIKETBERG",022-9131309,Rough Work,STAWELKLIP PRIM,STAWELKLIP,,,,,275
1342,STEENBERG ALC,,,"SYMPHONY AVENUE, STEENBERG, STEENBERG",021-7011235,Rough Work,SYMPHONY AVENUE,STEENBERG,,,,,276
1343,Stellenbosch Academy of Design and Photography (Pty) Ltd,info@stellenboschacademy.co.za,P O Box 762 STELLENBOSCH 7600,"41 Techno Road, Techno Park, Stellenbosch, 7600",(021) 887-9899,Rough Work,41 Techno Road,Techno Park,7600,,,,277
1344,STELLENBOSCH CLC,,,"LUCKHOFF SEN SEC, BLOEKOM AVENUE, STELLENBOSCH",021-8828357,Rough Work,LUCKHOFF SEN SEC,BLOEKOM AVENUE,,,,,278
1345,STELLENBOSCH PREMIER MANUFACTURERS T/A STELLENBOSCH NACO (Stellenbosch),riaan@naco.co.za,"P O Box 773, STELLENBOSCH, 7599","8 Stoffel Smit Street, STELLENBOSCH, 7599",021 883-8531,Rough Work,8 Stoffel Smit Street,STELLENBOSCH,7599,,,,279
1346,STEYNVILLE SEKONDER,,,"AANDBLOM STREET, STEYNVILLE HOSTEL, PIKETBERG",022-9131309,Rough Work,AANDBLOM STREET,STEYNVILLE HOSTEL,,,,,280
1349,STORMSVLEI,,,"DISALAAN, RIVIERSONDEREND, RIVIERSONDEREND",028-2611286,Rough Work,DISALAAN,RIVIERSONDEREND,,,,,281
135, COOL CALL CC (Paarden Eiland),,,,,Rough Work,,,,,,,282
1351,SUNNYSIDE GELETTERHEIDSENTRUM,,,"THUSONG BUILDING, PADDY STREET, ROBERTSON",023-6262542,Rough Work,THUSONG BUILDING,PADDY STREET,,,,,283
1352,Supreme Skills Academy (Pty) Ltd (Goup Indigo),mlouw@edufem.co.za,P O BOX 60023 Tableview 7441,42 Bloumhof Street Oakdale Belliville 7535,021-919 6482,Rough Work,42 Bloumhof Street Oakdale Belliville 7535,,7535,,,,284
1353,Sustainability Institute Trust: Learning For Sustainability,june@sustainabilityinstitue.net,P O BOX 162 LYNEDOCH 7603,Lynedoch Development R310 Lynedoch Stellenbosch 7603,021-881-3196,Rough Work,Lynedoch Development R310 Lynedoch Stellenbosch 7603,,7603,,,,285
1356,Swartland Boudienste (Edms) Bpk ,mail@swartland.co.za,"Kotze Street Moorreesburg, 7310","Kotze Street Moorreesburg, 7310",,Rough Work,Kotze Street Moorreesburg,7310,7310,,,,286
1358,SWELLENDAM SECONDARY ALC,,,"ANDREW WHYTESSTRAAT, SWELLENDAM, MONTAGU",028-5143324,Rough Work,ANDREW WHYTESSTRAAT,SWELLENDAM,,,,,287
136, COOL MAINTENANCE (STIKLAND),,,,,Rough Work,,,,,,,288
1360,SWIFT MICRO LABORATORIES (PTY) LTD,deidre@swift.co.za,PO Box 22 Newlands 7725,7 Warrington Street Claremont,021-6838420,Rough Work,7 Warrington Street Claremont,,,,,,289
1361,Targeted School Development Services,antbec@openweb.co.za,112 Helderberg College Road Die Wingerd Somerset West 7130,112 Helderberg College Road Die Wingerd Somerset West 7130,021-8554807,Rough Work,112 Helderberg College Road Die Wingerd Somerset West 7130,,7130,,,,290
1363,Tenk Loubser (Cape Town) Ingelyf ,tygervalley@exceed.co.za,"PO Box 5710
Tyger Valley, 7536","Old Oak Office Park
C/O Old Oak & Durban Road
Bellville, 7530",(0) 21 915 6666,Rough Work,Old Oak Office Park,,"le, 7530",,,,291
1365,TEST,Justin@triclineducation.co.za,230 Main Road Paarl 7620,230 Main Road Paarl 7620,021-870 1055,Rough Work,230 Main Road Paarl 7620,,7620,,,,292
1367,The Automobile Association of South Africa T/A AA Training Academy (PAROW) (DTTC),,Steelbank Complex,Steelbank Complex,219349071,Rough Work,Steelbank Complex,,,,,,293
1368,THE CAPE SHOOTING ACADEMY WC ,,,"KABACH BUILDING, 119 MAIN RD, PLUMSTEAD, WYNBERG, Western Cape, South Africa",021-7613633,Rough Work,KABACH BUILDING,119 MAIN RD,,,,,294
1371,THE CRAGS,,,"CRAGS PRIMARY, SKOOL STREET, THE GRAGS",044-5348840,Rough Work,CRAGS PRIMARY,SKOOL STREET,,,,,295
1372,The Educo Trust of Africa,contact@educo.org.za,7 DALEGARTH ROAD  PLUMSTEAD WESTERN CAPE 7800,7 DALEGARTH ROAD  PLUMSTEAD WESTERN CAPE 7800,021-761 8939,Rough Work,7 DALEGARTH ROAD  PLUMSTEAD WESTERN CAPE 7800,,7800,,,,296
1373,THE FRESH FOODS ACADEMY (PTY) LTD,richardm@pvg.co.za,PO Box 36415 Glosderry 7702,32 Benbow Avenue Epping Industria,021-5345560,Rough Work,32 Benbow Avenue Epping Industria,,,,,,297
1374,The Fundamentals Training Centre,noel@onlineftc.com,P.O. Box 20 Rondebosch 7701,17 Garland Dale Crescent  Garland Dale Athlone Cape Town 7764,021-696 5008,Rough Work,17 Garland Dale Crescent  Garland Dale Athlone Cape Town 7764,,7764,,,,298
1377,The Learning and Assessment Centre cc,tlac@telkomsa.net,P O Box 2415 Knysna 6570,298 Captain W A Duthie Avenue Lake Brenton 6571,044-381 0244,Rough Work,298 Captain W A Duthie Avenue Lake Brenton 6571,,6571,,,,299
1378,The Novalis Institute,,P O Box 53090 Kenilworth 7745,39 Rosmead Avenue  Wynberg Cape Town 7800,021-797 1857,Rough Work,39 Rosmead Avenue  Wynberg Cape Town 7800,,7800,,,,300
138, D C ENGINEERING (TULBAGH),celeste_christians@hotmail.com,"P O Box 53, Tulbagh","Straat kerk, Tulbagh",023 240 0369,Rough Work,Straat kerk,Tulbagh,,,,,301
1380,THE SOUTH AFRICAN SCHOOL OF PARALEGAL STUDIES ,ppconsa@iafrica.com,PO Box 373 7701 Rondebosch,Greenwich Grove – Station Road 7700 Rondebosch,021-6869262,Rough Work,Greenwich Grove – Station Road 7700 Rondebosch,,7700,,,,302
1381,The Water Academy,data@thewateracademy.co.za,66 Main Road 1st Floor Office 4 Knysna 6570,66 Main Road 1st Floor Office 4 Knysna 6570,(031) 208 7423; 0837500215,Rough Work,66 Main Road 1st Floor Office 4 Knysna 6570,,6570,,,,303
1382,THEMBALETHU,,,"THEMBALETHU WORKSHOP, GUGULETHU, GUGULETHU",021-6921355,Rough Work,THEMBALETHU WORKSHOP,GUGULETHU,,,,,304
1383,Theron Du Plessis Helderberg ,info@sw.tdp.co.za,"Postnet Suite 274
Private Bag X15
Somerset West, 7129","13 Octofin House
Fairways Office Park
Somerset West, 7130",021 851 2385,Rough Work,13 Octofin House,,"st, 7",,,,305
1386,Thunderbolt Solutions (Pty) Ltd,,11 Techno Crescent,11 Techno Crescent,215344041,Rough Work,11 Techno Crescent,,,,,,306
1387,Thunderbolt Solutions (Pty) Ltd,jasong@thunderbolt.co.za,P O Box 520,,021-  534 4041,11 Techno Crescent,Western Province Park,EPPINDUST,7475,,Jason Gould,,307
1388,Thutong Gankwane,,5 Pineway Pinelands Cape Town 7405,5 Pineway Pinelands Cape Town 7405,021- 531 6235,Rough Work,5 Pineway Pinelands Cape Town 7405,,7405,,,,308
139, DAMELIN EDUCATION GROUP (Vredenburg)(TP),,,,,Rough Work,,,,,,,309
1390,TLN Human Performace Systems (Pty) Ltd,anthea@tln.co.za,P O Box 2552 Somerset West 7129,19 Andries Pretorius Street Somerset West 7130,021-8526372,Rough Work,19 Andries Pretorius Street Somerset West 7130,,7130,,,,310
1391,TOORKRANS,,,"TOORKRANS, PORTERVILLE, PORTERVILLE",022-9313947,Rough Work,TOORKRANS,PORTERVILLE,,,,,311
1392,Tourism and Business Institute of SA,charmian@ttbisa.co.za,,,214485432,12 Liesbeek Avenue,Off Liesbeek Parkway,Mowbray,7705,,,,312
1393,Tourism and Business Institute of SA,rmurtuza@tandbisa.co.za,,,021 448 5432/3,12 Liesbeek Avenue,Off Liesbeek Parkway,Mowbray,7705,,,,313
1396,TOURIST GUIDE INSTITUTE,andre@dW.co.za,,,219483441,72 Duminy Street,Vredelust,Bellville,7530,,,,314
1397,TOUWSRIVIER GEMEENSKAP ONDERWYSSENTRUM,,,"DIE KRUINE SEKONDERE SKOOL, SKOOL STRAAT, TOUWSRIVIER",023-3427633,Rough Work,DIE KRUINE SEKONDERE SKOOL,SKOOL STRAAT,,,,,315
14, JOHN THOMPSON BOILERS (Bellville),info@jtafrika,"PO Box 129, Bellville South, Cape Town, 7535","129 Sacks Circle, Bellville South, Cape Town, 7535",021 959 8535,Rough Work,129 Sacks Circle,Bellville South,7535,,,,316
140, DATCENTRE MOTORS (PTY) LTD T/A CMH NISSAN (Cape Town),,"P O Box 14192, GREENPOINT, 8051","1 Bree Street, CAPE TOWN",021 425-1400,Rough Work,1 Bree Street,CAPE TOWN,,,,,317
1400,Towerstone Pty Ltd,ronel.mostert@towerstone-global.com,40 Oxford Street Durbanville Cape Town,40 Oxford Street Durbanville Cape Town,021-975 0311,Rough Work,40 Oxford Street Durbanville Cape Town,,,,,,318
1401,Training Answers cc,hermien@eject.co.za,P O Box 4040 George East 21 Fourth Street George 6539,21 Fourth Street  George 6530,083-500 8996,Rough Work,21 Fourth Street  George 6530,,6530,,,,319
1403,Training Force (Pty) Ltd ,rachelh@trainingforce.co.za,"Sacks Cir, Van Der Bijl St, Sacks Circle, 7530","Sacks Cir, Van Der Bijl St, Sacks Circle, 7530",21-9512750,Rough Work,Sacks Cir,Van Der Bijl St,7530,,,,320
1404,Training Workz,info@workpz.co.za,"Unit 4 Station Square, 38 Station Road Montague Gardens Cape Town 7441","Unit 4 Station Square, 38 Station Road Montague Gardens Cape Town 7441",021-551 1277,Rough Work,Unit 4 Station Square,38 Station Road Montague Gardens Cape Town 7441,7441,,,,321
1406,Trident Press (Pty) Limited,,Old Railway Parcel Building,Old Railway Parcel Building,214196630,Rough Work,Old Railway Parcel Building,,,,,,322
1407,Trident Press (Pty) Limited,jose@trident-press.co.za,P O Box 4996,,021-  419 6630,Old Railway Parcel Building,Old Marine Drive,Cape Town,8001,,Mrs Josie Joseph,,323
1408,Triple C Repro & Print,,16 Strawberry Mall,16 Strawberry Mall,213937958,Rough Work,16 Strawberry Mall,,,,,,324
1409,Triple C Repro & Print,tcrp2@telkomsa.net,16 STRAWBERRY MALL,,(021)393-7958,,16 Strawberry Mall,Strandfontein,7798,,Christopher Scullard,,325
141, DCD Marine (Pty) Ltd (CAPE TOWN) (TP),soniam@dhe.dorbyl.co.za,"P O Box 2616, CAPE TOWN, 8000","Ocean Rd, Sturrock Dock, Table Bay, CAPE TOWN, 8000",021 447-5170,Rough Work,"Ocean Rd, Sturrock Dock",Table Bay,8000,,,,326
1410,TSG,,3 de Kock Avenue Constantia Cape Town7806,3 de Kock Avenue Constantia Cape Town7806, 021-7948242,Rough Work,3 de Kock Avenue Constantia Cape Town7806,,7806,,,,327
1411,TSIBA Education NPC,info@tsiba.org.za,PO Box 13071 Mowbray CAPE TOWN 7705,"Mupine: 307 Forest Drive Extension, Pinelands, 7504",(021) 532 2750,Rough Work,Mupine: 307 Forest Drive Extension,Pinelands,7504,,,,328
1413,TSK Projects ,admin@tskprojects.co.za,P.O.Box 90730 Bertsham 2013,100 Northern Parkway  2nd Floor - Block D  Crownwood Officepark  Ormonde - Johannesburg,(011) 496-1674,Rough Work,100 Northern Parkway  2nd Floor - Block D  Crownwood Officepark  Ormonde - Johannesburg,,,,,,329
1414,TULBAGH ALC,,,"LYELL STREET, CERES, CERES",023-3162748,Rough Work,LYELL STREET,CERES,,,,,330
1416,Two A Day Group (Pty) Ltd,dimitri@tad.co.za,Two A Day Group (Pty) Ltd 1 Villiersdorp Rd Grabouw Overstrand Urban 7160,Two A Day Group (Pty) Ltd 1 Villiersdorp Rd Grabouw Overstrand Urban 7160,021-8597500,Rough Work,Two A Day Group (Pty) Ltd 1 Villiersdorp Rd Grabouw Overstrand Urban 7160,,,,,,331
1417,TYGERBERG HOSPITAL,,,"TYGERBERG HOSPITAAL, FRANSIE VAN ZYL LAAN, PAROW",021-9385261,Rough Work,TYGERBERG HOSPITAAL,FRANSIE VAN ZYL LAAN,,,,,332
1419,UITZIG SECONDARY ALC,,,"UITZIG SECONDARY, JACARANDA AVENUE, UITSIG",021-9312487,Rough Work,UITZIG SECONDARY,JACARANDA AVENUE,,,,,333
142, DCD-DORBYL (PTY) LTD (Cape Town),soniam@dhe.dorbyl.co.za,"P O Box 2616, CAPE TOWN, 8000","Ocean Rd, Sturrock Dock, Table Bay, CAPE TOWN, 8000",021 447-5170,Rough Work,"Ocean Rd, Sturrock Dock",Table Bay,8000,,,,334
1420,UKETSHA SECURITY SERVICES ,admin@ukhetshasecurity.co.za,"Seaboard House 235 Blaauwberg Road TableView, 7441","Seaboard House 235 Blaauwberg Road TableView, 7441",021-556 0017,Rough Work,Seaboard House 235 Blaauwberg Road TableView,7441,7441,,,,335
1422,Ukuphela Training cc,,22 AKASIA STRAAT GEORGE 6529,22 AKASIA STRAAT GEORGE 6529,044-8740833,Rough Work,22 AKASIA STRAAT GEORGE 6529,,6529,,,,336
1423,UMTHA WELANGA ALC,,,"SAGWITYI STREET, PHILIPPI, PHILIPPI",082-894 2230,Rough Work,SAGWITYI STREET,PHILIPPI,,,,,337
1426,University of Cape Town,,,"Rondebosch, Cape Town 7700",021-650 9111,Rough Work,Rondebosch,Cape Town 7700,7700,,,,338
1427,University of Stellenbosch,,,"Stellenbosch Central, Stellenbosch 7600",021-808 9111,Rough Work,Stellenbosch Central,Stellenbosch 7600,7600,,,,339
1428,University of Western Cape,,,"Robert Sobukwe Rd, Bellville, Cape Town 7535",021-959 2911,Rough Work,Robert Sobukwe Rd,Bellville,7535,,,,340
143, Department of Correctional Services T/A Hawequa Correctional Youth Centre (WELLINGTON) (TP),,"Private Bag X2, Wellington, 7655","Addy Street, Wellington, 7655",218 731 201,Rough Work,Addy Street,Wellington,7655,,,,341
1432,USS Graphics International Pty( Ltd),,PO Box 306,,021 505 2200,,58 Kinghall Avenue,Epping 2,7460,,Daniel O'Connell,,342
1433,VAN CUTSEM CLC,,,"PEOPLE'S CENTRE, DE DOORNS, DE DOORNS",023-3427633,Rough Work,PEOPLE'S CENTRE,DE DOORNS,,,,,343
1434,VAN RHYNSDORP CORRECTIONAL SERVICES,,,"KERK STRAAT, VAN RHYNSDORP, VAN RHYNSDORP",027-2198106,Rough Work,KERK STRAAT,VAN RHYNSDORP,,,,,344
1435,VAN RHYNSDORP VEELDOELIGE SENTRUM,,,"MANDELA STREET, MASKAMSIG, VAN RHYNSDORP",027-2192031,Rough Work,MANDELA STREET,MASKAMSIG,,,,,345
1436,VAN WYKSDORP,,,"Van Wyksdorp Primer, Skoolstraat, LADISMITH",028-5511984,Rough Work,Van Wyksdorp Primer,Skoolstraat,,,,,346
1437,VAN ZYLSDAMME,,,"VAN ZYLS DAM FARM, GAMKA EAST, LADISMITH",044-2793253,Rough Work,VAN ZYLS DAM FARM,GAMKA EAST,,,,,347
1438,VELDDRIFT,,,"NOORDHOEK PRIMARY, NOORDHOEK STREET, LAAIPLEK",072-5501231,Rough Work,NOORDHOEK PRIMARY,NOORDHOEK STREET,,,,,348
1439,VETUS SCHOLA PROTECTION SERVICES (PTY) LTD ,Sales@vetusschola.co.za,"Head Office 3 High Street, 3rd Floor, Rosenpark, Bellville, 7530","Head Office 3 High Street, 3rd Floor, Rosenpark, Bellville, 7530",021-949 9035,Rough Work,Head Office 3 High Street;  3rd Floor,Rosenpark,7530,,,,349
144, DESTA POWER MATLA - CAPE TOWN (Epping) Trasfered to L920711704,soniam@dhe.dorbyl.co.za,"P O Box 44, EPPINDUST, 7475","Elliot Avenue, Epping, CAPE TOWN, 8001",021 534-2681,Rough Work,Elliot Avenue,Epping,8001,,,,350
1440,VILLIERSDORP VOLWASSE ONDERRIG EN OPLEI,,,"OU KOSIE DE WET PRIMER, BUITEKANT STREET, VILLIERSDORP",028-8400961,Rough Work,OU KOSIE DE WET PRIMER,BUITEKANT STREET,,,,,351
1441,Vineyard Academy,vineyardacademy@live.co.za,Private Bag X5034 Stellenbosch Urban 7599,"Vineyard Academy Manor House, Nietvoorbij Farm R44 Arterial Road, Stellenbosch Urban 7599",021-8898101/ 073 228 3713,Rough Work,Vineyard Academy Manor House;  Nietvoorbij Farm R44 Arterial Road,Stellenbosch Urban 7599,,,,,352
1444,VLAKTEPLAAS,,,"VLAKTEPLAAS, VLAKTEPLAAS, OUDTSHOORN",044-2793253,Rough Work,VLAKTEPLAAS,VLAKTEPLAAS,,,,,353
1446,VOORBERG MEDIUM B ALC,,,"VOORBERG CORRECTIONAL SERVICE, PORTERVILLE, PORTERVILLE",022-9318042,Rough Work,VOORBERG CORRECTIONAL SERVICE,PORTERVILLE,,,,,354
1447,VOORBRUG ALC,,,"DELFT PRIM SCHOOL, VOORBRUG AVENUE, DELFT",073-5976374,Rough Work,DELFT PRIM SCHOOL,VOORBRUG AVENUE,,,,,355
1448,VREDELUS HOUSE PLACE OF SAFETY CLC,,,"VESTUS STREET, LEONSDALE, ELSIES RIVER",021-9310233,Rough Work,VESTUS STREET,LEONSDALE,,,,,356
1449,VRP Print (Pty)Ltd,frank@vrpprint.co.za,PO Box 3145,,(021)531-9000,25-27 Thor Circle,Viking Place,Thornton,7460,,Frank Retter,,357
1450,VUKANI ADULT LEARNING CENTRE,,,"SINQOLAMTHI ROAD, LOWER CROSSROAD, PHILLIPI EAST",-,Rough Work,SINQOLAMTHI ROAD,LOWER CROSSROAD,,,,,358
1451,VUYISILE ALC,,,"SIYAFUNEKA PRIMARY SCHOOL, ZWELETEMBA, WORCESTER",023-3427633,Rough Work,SIYAFUNEKA PRIMARY SCHOOL,ZWELETEMBA,,,,,359
1452,WAREHAM & ASSOCIATES (PTY) LTD,info1@wareham.co.za,PO Box 30307 Tokai 7966,"2 Thorpe Close Corner Thorpe Close/Zwaanswyk Road, entrance in Zwaanswyk Road",021-7152640,Rough Work,2 Thorpe Close Corner Thorpe Close/Zwaanswyk Road,entrance in Zwaanswyk Road,,,,,360
1453,Webb Accounting CC ,,P.O.BOX 1235 STRAND 7139 SOUTH AFRICA,"25 Saint James Street, Audas Estate, Somerset West, 7130",021 851 7400,Rough Work,25 Saint James Street,Audas Estate,7130,,,,361
1454,WELLINGTON ALC,,,"OLD CLINIC, HOSPITAL ROAD, WELLINGTON",021-8642418,Rough Work,OLD CLINIC,HOSPITAL ROAD,,,,,362
1455,WELLINGTON COMMUNITY LEARNING CENTRE,,,"HOSPITAL STREET, OLD CLINIC, WELLINGTON",021-8642418,Rough Work,HOSPITAL STREET,OLD CLINIC,,,,,363
1456,WEST COAST COLLEGE - VREDENBURG CAMPUS (Vredenburg)(DTTC),,"5 Fabriek Street, Vredenburg, 7381",,,Rough Work,,,,,,,364
1457,West Coast College /FET,mpearson@westcoastcollege.co.za,P O BOX 935 CNR KERK STREET RAINER STREET MALMESBURY 7229,Clicks Bldg 48 Voortrekker Road Malmesbury 7299,022-482 1143,Rough Work,Clicks Bldg 48 Voortrekker Road Malmesbury 7299,,7299,,,,365
1458,West Coast FET College,,P.O Box 935 Malmesbury 7299,Clicks Building 2nd Floor 48 Voortrekker Road Malmesbury 7300,,Rough Work,Clicks Building 2nd Floor 48 Voortrekker Road Malmesbury 7300,,7300,,,,366
1459,West Coast FET College,ameyer@westcoastcollege.co.za,PO Box 59 Vredenburg 7380,"1 Akademie Street, Louwville, Vredenburg",(022) 713 3167/18.,,"1 Akademie Street,  Louwville",Vredenburg,,,Andy,Meyer,367
146, DJS EPCOT SYSTEM & SERVICES T/A EPCOT SYSTEMS (Killarney Gardens),www.epcotsystems.co.za,"PO Box 36599,, Chempet,, Cape Town,, 7442","7 Monza Rd,, Killarney Gardens,, Milnerton,, 7441",215 574 269,Rough Work,7 Monza Rd,Killarney Gardens,7441,,,,368
1460,West Coast FET College,dvanzyl@westcoastcollege.co.za,PO Box 2083 Vredendal 8160,"Hoërskool Road, Vredendal",(027) 213 5673/4.,,Hoërskool Road,Vredendal,,,Dilette,van Zyl,369
1461,West Coast FET College,kbeukes@westcoastcollege.co.za,PO Box 256 Citrusdal 7340,101 Kerk Street Citrusdal 7340,(022) 921 /  2457,,101 Kerk Street,Citrusdal,7340,,Kathleen,Beukes,370
1462,West Coast FET College,tmdoko@westcoastcollege.co.za,PO Box 1562 Dassenberg 7350,"C/O Charl Uys Drive and Neil Hare Street, Atlantis Industrial Area",(021) 5771727.,,C/O Charl Uys Drive and Neil Hare Street,Atlantis Industrial Area,,,Thenjiwe,Mdoko,371
1463,West Coast FET College,tmdoko@westcoastcollege.co.za,PO Box 694 Malmesbury 73007299,4 St Thomas Street Malmesbury 7300,(022) 487 2851/2/3.,,4 St. Thomas Street,Malmesbury,7300,,Thenjiwe,Mdoko,372
1464,West Coast FET College (Atlantis) (DTTC),,"Charl Uys Drive, Atlantis Industria","Charl Uys Drive, Atlantis Industria",,Rough Work,Charl Uys Drive,Atlantis Industria,,,,,373
1465,West Coast Hair Academy Pty Ltd,wchair@telkomsa.net,Heuningklip Street Vredenburg Cape Town 7380,Heuningklip Street Vredenburg Cape Town 7380,022-13 5765,Rough Work,Heuningklip Street Vredenburg Cape Town 7380,,7380,,,,374
1466,WEST COAST TVET COLLEGE,,"5 Fabriek Street, Vredenburg, 7381","5 Fabriek Street, Vredenburg, 7381",845550408,Rough Work,5 Fabriek Street,Vredenburg,7381,,,,375
1467,WESTBANK LIFE LONG LEARNING CENTRE,,,"WESTBANK HIGH SCHOOL, BEAVER STREET, KUILS RIVER",021-9552424,Rough Work,WESTBANK HIGH SCHOOL,BEAVER STREET,,,,,376
1468,Westco Agri Training,westco@telkomsa.net,0,"Westco Agri Training Oktagebou, Waterkantskraai Vredendal",027-2132411,Rough Work,Westco Agri Training Oktagebou,Waterkantskraai Vredendal,,,,,377
1473,Western Province Caterers (pty) Ltd,training@hcp.co.za,,,214249034,,5 Beckham Street,Gardens,8018,,,,378
1475,WESTON HOER,,,"PANORAMA PRIMARY, SIXTH STREET, LOUWVILLE",072-5501231,Rough Work,PANORAMA PRIMARY,SIXTH STREET,,,,,379
1476,WESTWOOD-STRANDFONTEIN CLC,,,"SILVERSANDS AVENUE, WESTRIDGE SEC, MITCHELLS PLAIN",021-3930011,Rough Work,SILVERSANDS AVENUE,WESTRIDGE SEC,,,,,380
1477,WHITE LOCATION,,,"RHOLIHLAHLA STREET, WHITE LOCATION, KNYSNA",044-3820702,Rough Work,RHOLIHLAHLA STREET,WHITE LOCATION,,,,,381
148, Donn Products (Pty) Ltd T/A Saint-Gobain Construction Products Academy (EPPING) (TP),,"77 Ostend Rd, GERMISTON EXT 7, 1401",,113 455 384,Rough Work,,,,,,,382
1480,Wildlife and Environment Society of South Africa ,admin@wessa.co.za,"PO Box 30145, Tokai, 7966","31 The Sanctuary, Kirstenhof, 7945",(021) 701 1397,Rough Work,31 The Sanctuary,Kirstenhof,7945,,,,383
1481,WILLEMVALLEI CLC,,,"TOORKRANS, LOURIW STREET, PORTERVILLE",022-9313947,Rough Work,TOORKRANS,LOURIW STREET,,,,,384
1482,WINDERMERE CLC,,,"BOSTON STREET, FACTRETON, MAITLAND",021-5932550,Rough Work,BOSTON STREET,FACTRETON,,,,,385
1483,WINDMEUL PRIMÊR,,,"CRYGUNS ROAS, WINDMEUL, PAARL",021-8642418,Rough Work,CRYGUNS ROAS,WINDMEUL,,,,,386
1485,WINSLEY CLC,,,"WILLIAM TAYLOR AVENUE, BELLVILLE SOUTH, BELLVILLE SOUTH",021-9511441,Rough Work,WILLIAM TAYLOR AVENUE,BELLVILLE SOUTH,,,,,387
1486,WITZENBERG CLC,,,"LYELL STREET, OLD CERES PRIM, CERES",023-3162748,Rough Work,LYELL STREET,OLD CERES PRIM,,,,,388
1487,WOLSELEY (Satellte),,,"LYELL STREET, HAMLET, CERES",023-3162748,Rough Work,LYELL STREET,HAMLET,,,,,389
1488,WOODLANDS COMMUNITY LEARNING CENTRE,,,"ZUURBERG ROAD, HEIDEVELD, HEIDEVELD",021-6371823,Rough Work,ZUURBERG ROAD,HEIDEVELD,,,,,390
1489,WOODSTOCK CLC,,,"GREATMORE STREET, WOODSTOCK, WOODSTOC",021-4475781,Rough Work,GREATMORE STREET,WOODSTOCK,,,,,391
1490,WORCESTER CLC,,,"GREYSTRAAT, WORCESTER, WORCESTER",023-3427633,Rough Work,GREYSTRAAT,WORCESTER,,,,,392
1491,WORCESTER CORRECTIONAL SERVICES,,,"WORCESTER MALE AND FEMALE CENT,C/O DURBAN AND SOMERSET STREET,WORCESTER",023-3487769,Rough Work,WORCESTER MALE AND FEMALE CENT,C/O DURBAN AND SOMERSET STREET,,,,,393
1492,Xcite Skills Development cc,jgourand@telkomsa.net,5A Avenue Normadie Fresnaye Cape Town 8005,5A Avenue Normadie Fresnaye Cape Town 8005,021- 4393257,Rough Work,5A Avenue Normadie Fresnaye Cape Town 8005,,8005,,,,394
1493,Xhosa Fundis cc,molo@new.co.za,45 Queen's Park Avenue Woodstock Cape Town 7925,45 Queen's Park Avenue Woodstock Cape Town 7945,021-447 9868,Rough Work,45 Queen's Park Avenue Woodstock Cape Town 7945,,7945,,,,395
1494,YOGLOBE,,,"TOMMY JOUBERT BUILDING, COURTNEY STREET, GEORGE",044-8732324,Rough Work,TOMMY JOUBERT BUILDING,COURTNEY STREET,,,,,396
1495,ZANOKHANYO ALC,,,"MATSHOBA STREET, WALLACEDENE, KRAAIFONTEIN",021-9873962,Rough Work,MATSHOBA STREET,WALLACEDENE,,,,,397
1497,ZOAR/AMALIEN STEIN,,,"LB PRIMARY AMALIENSTEIN, ZOAR, ZOAR",044-2793253,Rough Work,LB PRIMARY AMALIENSTEIN,ZOAR,,,,,398
1498,ZOLANI ALC,,,"THUSONG CENTRE, PADDY STREET, ROBERTSON",023-6262510,Rough Work,THUSONG CENTRE,PADDY STREET,,,,,399
1499,ZWELIHLE ALC,,,"SHLOBO STREET, ZWELIHLE, HERMANUS",028-3151652,Rough Work,SHLOBO STREET,ZWELIHLE,,,,,400
15, JOWELLS TOYOTA SPRINGBOK (Springbok),charlievw@jowells.co.za,"P O Box 183, SPRINGBOK, 8240","15 Voortrekker Street, SPRINGBOK, 8240",027 712-2006,Rough Work,15 Voortrekker Street,SPRINGBOK,8240,,,,401
151, EASTLIFF AUTO CC (Hermanus),,,"18 Arum St, Hermanus, 7200",028-3123704,Rough Work,18 Arum St,Hermanus,7200,,,,402
152, ELCO PLASTICS (PTY) LTD (Stikland)(TP),richard@elcoplastics.co.za,"P O Box 289, BRACKENFELL, 7561","11D Danie Uys Street, Stikland, CAPE TOWN, 7530",021 948-8008,Rough Work,11D Danie Uys Street,Stikland,7530,,,,403
