ProviderID,Provider Name,Group Provider,Email,Postal address,Centre address,Telephone no,Room_Floor,Building,House Number,StreetName,Mini_Suburb,Suburb,City,Postal Code,Comment,Website,ContactName,ContactSurname,ID,ETQAs_providers_ID,OldStreetData,Old_Room_Floor,Old_Building,Old_House Number,Old_StreetName,Old_Suburb,Old_City,Old_Postal Code
126,COASTAL MARINE & INDUSTRIAL REFRIGERATION (Waterfront),,ccrtransport@itek.co.za,"423A Main Road, OBSERVATORY, 7925","423A Main Road, OBSERVATORY, 7925",021 448-6112,,,423A,Main Road,,Observatory,,7925,,,,,212,8,Rough Work,,,,423A Main Road,OBSERVATORY,,7925
1260,SEDERBERG ALC,,,,"UC CHURCH, BUITEKANT STRAAT, CLANWILLIAM",027-4822223,,UC CHURCH,,BUITEKANT STRAAT,,CLANWILLIAM,CLANWILLIAM,,,,,,213,12,Rough Work,,UC CHURCH,,BUITEKANT STRAAT,CLANWILLIAM,CLANWILLIAM,
1261,SELECTA SEA PRODUCTS (PTY) LTD,,trevor@selectafish.co.za,PO Box 6030 Roggebaai 8002,"Lanzerac Road Phillipi, Industria",021-3714900,,,,Cnr of Lanzerac & Stock Roads,,Phillipi Industria 2,Cape Town,7785,,,,,214,3,Rough Work,,,,Lanzerac Road Phillipi,Industria,,
1262,SEPTEMBERSKRAAL,,,,"SEPTEMBERSKRAAL, PORTERVILLE, PORTERVILLE",022-9313947,,SEPTEMBERSKRAAL,,PORTERVILLE,,PORTERVILLE,PORTERVILLE,,,,,,215,12,Rough Work,,SEPTEMBERSKRAAL,,PORTERVILLE,PORTERVILLE,PORTERVILLE,
1264,Seyfert Corrugated,,frik@seyfert.co.za,P O Box 595,,021-  535 2670,,,,Moorsom Avenue,,Epping Industria 11,,7460,,,Frik Bell,,216,4,,,,,Moorsom Avenue,Epping Industria 11,,7460
1266,SHARE ALC,,,,"VICTORIA CENTRE, VICTORIA STREET, SOMERSET WEST",021-8511427,,VICTORIA CENTRE,,VICTORIA STREET,,SOMERSET WEST,SOMERSET WEST,,,,,,217,12,Rough Work,,VICTORIA CENTRE,,VICTORIA STREET,SOMERSET WEST,SOMERSET WEST,
1268,SHILOH EDUCATION AND TRAINING ACADEMY,,,,"GREATMORE STREET, WOODSTOCK, CAPE TOWN",021-4479210,,,,GREATMORE STREET,,WOODSTOCK,CAPE TOWN,,,,,,218,12,Rough Work,,,,GREATMORE STREET,WOODSTOCK,CAPE TOWN,
1270,Shumani Printers,,,5 Koets Street,5 Koets Street,219516391,,,5,Koets Street,,Parow Industrial,,7493,,,,,219,11,Rough Work,,,,5 Koets Street,,,
1271,Shumani Printers,,,PO BOX 19073,,021- 951 6391,,,5,Koets Street Tygerberg Bus Park,,PAROW,,7500,,,Stephen Coetzee,,220,4,5 Koets Street,,,5 Koets Street,Tygerberg Bus Park,PAROW,,7500
1273,SIFUNULWAZI ALC,,,,"MARCONI BEAM PRIMARY, DEMOCRACY DRIVE, MILNERTON",021-5517629,,MARCONI BEAM PRIMARY,,DEMOCRACY DRIVE,,MILNERTON,,,,,,,221,12,Rough Work,,MARCONI BEAM PRIMARY,,DEMOCRACY DRIVE,MILNERTON,,
1274,SIJONGA-PHAMBILI CLC,,,,"PENZANCE AVENUE, HOUT BAY, HOUT BAY",021-7901070,,,,PENZANCE AVENUE,,HOUT BAY,HOUT BAY,,,,,,222,12,Rough Work,,,,PENZANCE AVENUE,HOUT BAY,HOUT BAY,
1275,SIKELELA CLC,,,,"SIKELELA PRIM, LANSDOWN ROAD, NYANGA EAST",021-3709901,,SIKELELA PRIM,,LANSDOWN ROAD,,NYANGA EAST,NYANGA EAST,,,,,,223,12,Rough Work,,SIKELELA PRIM,,LANSDOWN ROAD,NYANGA EAST,NYANGA EAST,
1276,Sikhula Agri Training,,sikhula.wc@telkomsa.net,0,Sikhula Agri Training 2 Hurst Place Somerset West,021-8528558,,,2,Hurst Place,,Somerset West,Somerset West,,,,,,224,20,Rough Work,,,,Sikhula Agri Training 2 Hurst Place Somerset West,,,
1277,Silulo Ulutho Technologies,,kwankwayomzi@gmail.com,0,,021-3613212,,,,0,,,,,,,,,225,9,Rough Work,,,,0,,,
1278,Silver Solutions Security 1713 cc,,sssecurity@telkomsa.net,P O Box 30 Mitchells Plain 7789,01 Clarendon Street Parow Valley Parow Valley 7500,021-931 7850,,,1,Clarendon Street,,Parow Valley Parow,,7500,,,,,226,25,Rough Work,,,,01 Clarendon Street Parow Valley Parow Valley 7500,,,7500
1279,SILVER SOLUTIONS TRAINING ACADEMY,,griffithsgerald@gmail.com,12 Dahlia Street White City Saldanha 7395,12 Dahlia Street White City,0,,,12,Dahlia Street,,White City,Saldanha,7395,,,,,227,3,Rough Work,,,,12 Dahlia Street White City,,,
128,COLLEGE OF CAPE TOWN (City Campus) (Non Merseta TP),College of Cape Town TVET College,,,,,,CCT City Campus,,"Buitenkant Street,",,Cape Town City Centre,,8000,,,,,228,8,Rough Work,,,,,,,
1280,SIMONDIUM VOLWASSE ONDERWYSSENTRUM,,,,"SIMONDIUM PRIMER, HOOFSTRAAT, SIMONDIUM",021-8626433,,SIMONDIUM PRIMER,,HOOFSTRAAT,,SIMONDIUM,SIMONDIUM,,,,,,229,12,Rough Work,,SIMONDIUM PRIMER,,HOOFSTRAAT,SIMONDIUM,SIMONDIUM,
1281,SIMUNYE ALC,,,,"DELFT PRIMARY, VOORBRUG, DELFT",073-5976374,,DELFT PRIMARY,,VOORBRUG,,VOORBRUG,DELFT,,,,,,230,12,Rough Work,,DELFT PRIMARY,,VOORBRUG,VOORBRUG,DELFT,
1282,SIR LOWRYS PASS CENTRE,,,,"SIR LOWRY'S PASS PRIM, GORDONS BAY ROAD, GORDONS BAY",021-8581282,,SIR LOWRY'S PASS PRIM,,GORDONS BAY ROAD,,GORDONS BAY,GORDONS BAY,,,,,,231,12,Rough Work,,SIR LOWRY'S PASS PRIM,,GORDONS BAY ROAD,GORDONS BAY,GORDONS BAY,
1283,SIYAFUNA UKUFUNDA CENTRE,,,,"BOSDUIFSTRAAT, BITTERWATER, LEEU-GAMKA",023-5212049,,,,BOSDUIFSTRAAT,,BITTERWATER,LEEU-GAMKA,,,,,,232,12,Rough Work,,,,BOSDUIFSTRAAT,BITTERWATER,LEEU-GAMKA,
1284,Siyakhana cc,,siyakhana@absamail.co.za,Suite 216 Postnet X 3036  Paarl 7620,3 Swartvlei Street Paarl 7646,021- 8729799,,,3,Swartvlei Street,,Paarl,,7646,,,,,233,25,Rough Work,,,,3 Swartvlei Street Paarl 7646,,,7646
1285,SIYAKHANYISA CLC,,,,"TREVOR MANEUL PRIMARY, SIERA STREET, FISAANTEKRAAL, DURBANVILLE",073-5469300,,TREVOR MANEUL PRIMARY,,SIERA STREET,,FISAANTEKRAAL,FISAANTEKRAAL,,,,,,234,12,Rough Work,,TREVOR MANEUL PRIMARY,,SIERA STREET,FISAANTEKRAAL,FISAANTEKRAAL,
1286,SIYAKHUTHAZA CLC,,,,"THUSONG BUILDING, PADDY STREET, ROBERTSON",023-6262542,,THUSONG BUILDING,,PADDY STREET,,ROBERTSON,ROBERTSON,,,,,,235,12,Rough Work,,THUSONG BUILDING,,PADDY STREET,ROBERTSON,ROBERTSON,
1287,Siyathembana Trading 46,,glenda@siyathembana.com,P O Box 23287 Claremont 7735,8 Sherwood Course Corner of Dreyersdal and Children Way Bergvliet 7945,021-712 7447,,Sherwood Course,8,Corner of Dreyersdal and Children Way,,Bergvliet,,7945,,,,,236,25,Rough Work,,,,8 Sherwood Course Corner of Dreyersdal and Children Way Bergvliet 7945,,,
1289,SIYAZAMA ALC,,,,"EAGLE STREET, SITE C, KHAYELITSHA",021-3871134,,,,EAGLE STREET,,SITE C,KHAYELITSHA,,,,,,237,12,Rough Work,,,,EAGLE STREET,SITE C,KHAYELITSHA,
129,COLLEGE OF CAPE TOWN (Salt River)(TP),College of Cape Town TVET College,,,,,,CCT Salt River HO,334,Albert Road,,Salt River,,7925,,,,,238,8,Rough Work,,,,,,,
1290,Skills Dynamics Africa PTY LTD,,info@skillsafrica.com,P.O. Box 11280 Bloubergrant 7443,13 Briza Road Bloubergrant 7441,021-5568112,,,13,Briza Road,,Bloubergrant,,7441,,,,,239,25,Rough Work,,,,13 Briza Road Bloubergrant 7441,,,7441
1292,SLANGHOEK ALC,,,,"C/O SLANGHOEK PRIMARY, DRIEFONTEIN, RAWSONVILLE",023-3427633,,C/O SLANGHOEK PRIMARY,,DRIEFONTEIN,,DRIEFONTEIN,RAWSONVILLE,,,,,,240,12,Rough Work,,C/O SLANGHOEK PRIMARY,,DRIEFONTEIN,DRIEFONTEIN,RAWSONVILLE,
1293,"SLED,Sign Language Education and Development",,sasl@sled.org.za,"Unit 201 B, Building 20 Waverley Business Park Wycroft Road Mowbray 7700","Unit 201 B, Building 20 Waverley Business Park Wycroft Road Mowbray 7700",021-4482520,,Building 20 Waverley Business Park,,Wycroft Road,,Mowbray,,7700,,,,,241,25,Rough Work,,,,Unit 201 B,Building 20 Waverley Business Park Wycroft Road Mowbray 7700,,
1294,SLOT VAN PAARL,,,,"SLOT-VAN-PAARL FARMS, AGTER - PAARL, PAARL",021-8642418,,SLOT-VAN-PAARL FARMS,,AGTER - PAARL,,AGTER - PAARL,PAARL,,,,,,242,12,Rough Work,,SLOT-VAN-PAARL FARMS,,AGTER - PAARL,AGTER - PAARL,PAARL,
1295,SNAP SOLUTIONS NETWX PTY LTD ,,,"244B Voortrekker Road, Parow 7500","244B Voortrekker Road, Parow 7500",021-591 8823/8,,,,Voortrekker Road,,Parow,,7500,,,,,243,18,Rough Work,,,,244B Voortrekker Road,Parow 7500,,7500
1297,Social Impact Ministry Sikhula Sonke,,wendy@sikhulasonke.org.za,P. O. Box 23122 Claremont Cape Town 7735,22 Cavendish Road Claremont Cape Town 7708,021-6839440,,,22,Cavendish Road,,Claremont,Cape Town,7708,,,,,244,25,Rough Work,,,,22 Cavendish Road Claremont Cape Town 7708,,,7708
1298,SOETENDAL ALC,,,,"HERMONWEG, WELLINGTON, WELLINGTON",021-8642418,,HERMONWEG,,WELLINGTON,,WELLINGTON,WELLINGTON,,,,,,245,12,Rough Work,,HERMONWEG,,WELLINGTON,WELLINGTON,WELLINGTON,
1299,SOETMELKSVLEI,,,,"DISALAAN, RIVIERSONDEREND, RIEVIERSONDEREND",028-2611286,,,,DISALAAN,,RIVIERSONDEREND,RIEVIERSONDEREND,,,,,,246,12,Rough Work,,,,DISALAAN,RIVIERSONDEREND,RIEVIERSONDEREND,
130,College of Cape Town (Thornton Campus) (TP),College of Cape Town TVET College,,,,,,CCT Thornton Campus,,Cnr of Cedar and Poplar Rds,,Thornton,,7460,,,,,247,8,Rough Work,,,,,,,
1301,Sound Interactions CC,,lizeth@soundinteraxions.co.za,2 St Geran Village Radar Close Cape Town 7441,Sound Interactions CC 2 St Geran Village Radar Close Cape Town Cape Town Metro Urban 7441,083-2303204,,,,Radar Close,,,,7441,,,,,248,20,Rough Work,,,,Sound Interactions CC 2 St Geran Village Radar Close Cape Town Cape Town Metro Urban 7441,,,7441
1304,South African ABET Development Agency SAADA ,,info@saada-r.co.za,"P. O. Box 55952, Polokwane, 0700","SAADA House, 27 Rabe  Street, Polokwane 0699      015 295 9670/ 015 291 4998",015 295 9670/ 015 291 4998,,SAADA House,27,Rabe,,Polokwane,Polokwane,699,,,Duplicate Suburb/City,,249,7,Rough Work,,,,SAADA House,27 Rabe  Street,,
1305,South African College of Applied Psychology (Pty) Ltd (The),,info@sacap.edu.za,Box 97 Sunclare Building 21 Dreyer Street CLAREMONT 7708,"1St Floor, Sunclare Building, 21 Dreyer Street, Claremont, 7708",(021) 671 7692,1St Floor;,Sunclare Building,21,Dreyer Street,,Claremont,,7708,,,,,250,13,Rough Work,1St Floor;,Sunclare Building,21,Dreyer Street,Claremont,,7708
1306,South African Institute for Entrepreneurship,,sharon@entrepreneurship.co.za,P O BOX 13805 MOWBRAY 7705,Collingwood Place 11 Drake Street Observatory 7925,021-4472023,,Collingwood Place,11,Drake Street,,Observatory,,7925,,,,,251,25,Rough Work,,,,Collingwood Place 11 Drake Street Observatory 7925,,,7925
1307,South African Navy,,travorfredericks@webmail.co.za,SAS Wingfield,,0215902815,,,,Private Bag x1,,Goodwood,,7459,,,Travor Fredericks,,252,4,SAS Wingfield,,,SAS Wingfield,Private Bag x1,Goodwood,,7459
1311,South African School of Motion Picture Medium & Live Performance (Pty) Ltd  t/a AFDA (The),,info@sacap.edu.za,P O Box 277 MELVILLE 2109,"18 Lower Scott Road, Observatory, Cape Town, 8000",(011) 482-8345,,,18,Lower Scott Road,,Observatory,,8000,,,,,253,13,Rough Work,,,18,Lower Scott Road,Observatory,,8000
1313,South Cape College,South Cape TVET College,erna.hollandmuter@sccollege.co.za,P O Box 10400 George 6530,,044-884 0359,,,125,Mitchell Street,,George,,6530,,,,,254,25,Rough Work,,,,,,,
1314,South Cape College,South Cape TVET College,erna.hollandmuter@sccollege.co.za,P.O.Box 10400 GEORGE George Urban 6530,South Cape College 125 Mitchell Street GEORGE George Urban 6530,044-884 0359 / 072 1225463,,,125,Mitchell Street  6530,,GEORGE,George,6530,,,,,255,20,Rough Work,,,,South Cape College 125 Mitchell Street GEORGE George Urban 6530,,,6530
1317,South Cape College - George,South Cape TVET College,erna.hollandmuter@sccollege.co.za,Courteney & Cradock Streets 6529,Courtney & Joubert Streets,044 884 0359;,,,125,Mitchell Street,,George,,6530,,,,,256,26,Rough Work,,,,Courtney & Joubert Streets,,,
1318,South Cape FET College,South Cape TVET College,absolome.chimuka@sccollege.co.za,P.O Box 765 Plettenberg Bay 6600,Community Development Centre (Kwa-Nokuthula) N2 Opposite Christian School Plettenberg 6600,0445332388,(Opposite Christian School),Old Community Centre  (Opposite Christian School),,N2 Kwanonkuthula,,Plettenberg Bay,,6600,,,Absolome,Chimuka,257,16,Old Community Centre,(Opposite Christian School),Old Community Centre  (Opposite Christian School),,N2 Kwanonkuthula,Plettenberg Bay,,6600
1319,South Cape FET College,South Cape TVET College,brendon.duthie@sccollege.co.za,Private Bag X4 Mossel Bay 6500,C/o Essenhout & Kreupelhout Streets Heiderant MOSSEL BAY 6511,0446932613,,,Cnr & Kreupelhout Streets,Essenhout & Heiderand,,Mossel Bay,,6506,,,Brendon,Duthie,258,16,Cnr Essenhout & Kreupelhout Streets,,,Cnr & Kreupelhout Streets,Essenhout & Heiderand,Mossel Bay,,6506
132,Composites Training Academy (CAPE TOWN) (TP),,,,,,,STC Building,,Duncan Road,,Cape Town Harbour,,8000,,,,,259,8,Rough Work,,,,,,,
1320,South Cape FET College,South Cape TVET College,hessequa@sccollege.co.za,"Varkevisser Street, Riversdale, 6670","Varkevisser Street, Riversdale, 6670",028-713-4775,,,,Varkevisser Street,,Riversdale,,6670,,,Cobus,Smith,260,16,,,,,Varkevisser Street,Riversdale,,6670
1321,South Cape FET College,South Cape TVET College,Linda.Majola@sccollege.co.za,Private Bag X6548 George 6530,46 Hibernia Street George 6529,0448742360,,,46,Hibernia Street,,George,,6529,,,Linda,Majola,261,16,,,,46,Hibernia Street,George,,6529
1322,South Cape FET College,South Cape TVET College,Pieter.Sam@sccollege.co.za,P O Box 234 Beaufort West 6970,Cnr De Vries & Van Schalkwyk Streets Beaufort West 6970,0234143064,,Van Schalkwyk & De Vries Streets,Cnr,Van Schalkwyk & De Vries Streets,,Rustdene,Beaufort West,6970,,,Pieter,Sam,262,16,Cnr Van Schalkwyk & De Vries Streets,,Van Schalkwyk & De Vries Streets,Cnr,Van Schalkwyk & De Vries Streets,Rustdene,Beaufort West,6970
1323,South Cape FET College,South Cape TVET College,Winston.Coerecius@sccollege.co.za,P O Box 534 Oudtshoorn 6620,Adderley Street Oudtshoorn 6620,0442722110 / 9,,,,Adderley Street,,Oudtshoorn,,6625,,,Winston,Coerecius,263,16,,,,,Adderley Street,Oudtshoorn,,6625
1325,SOUTHERN SUBURBS YOUTH ACADEMY,,,,"ACACIA ROAD, GRASSY PARK, GRASSY PARK",021-7057819,,,,ACACIA ROAD,,GRASSY PARK,GRASSY PARK,,,,,,264,12,Rough Work,,,,ACACIA ROAD,GRASSY PARK,GRASSY PARK,
1326,SPECIAL ASSET PROTECTION SERVICES KRAAIFONTEIN ,,morlandini@mweb.co.za,BOOMPIES STREET PAROW EAST CAPE TOWN 7500,BOOMPIES STREET PAROW EAST CAPE TOWN 7500,021-930 5843,,,,BOOMPIES STREET,,PAROW EAST,CAPE TOWN,,,,,,265,18,Rough Work,,,,BOOMPIES STREET PAROW EAST CAPE TOWN 7500,,,7500
1328,Spectraprint,,,Basil Crescent,Basil Crescent,,,,18,Basil Crescent,,"Ottery East,",,7500,,,,,266,11,Rough Work,,,,Basil Crescent,,,
1330,Spilo Pty Ltd,,,Oosterlang Road,Oosterlang Road,218626100,,,,Oosterland Street,,PAARL,PAARL,7646,Address Added,,Duplicate Suburb/City,,267,11,Rough Work,,,,Oosterlang Road,,,
1332,Sport Science Institute of South Africa,,gtaylor@ssisa.com,Boundary Road Newlands 7700,Boundary Road Newlands 7700,021-659 5635,,,,Boundary Road,,Newlands,,7700,,,,,268,25,Rough Work,,,,Boundary Road Newlands 7700,,,7700
1333,ST FRANCIS ALC,,,,"NDANENI STREET, LANGA, CAPE TOWN",021-6941201,,,,NDANENI STREET,,LANGA,CAPE TOWN,,,,,,269,12,Rough Work,,,,NDANENI STREET,LANGA,CAPE TOWN,
1334,ST. ALBANS PRIM ALC,,,,"ST. ALBANS PRIMARY, VOORSTRAAT, WELLINGTON",021-8642418,,ST. ALBANS PRIMARY,,VOORSTRAAT,,WELLINGTON,WELLINGTON,,,,,,270,12,Rough Work,,ST. ALBANS PRIMARY,,VOORSTRAAT,WELLINGTON,WELLINGTON,
1335,ST. HELENABAAI CLC,,,,"ST HELENABAAI PRIMER, SKOOLSTRAAT, LAINGVILLE",072-5501231,,ST HELENABAAI PRIMER,,SKOOLSTRAAT,,LAINGVILLE,LAINGVILLE,,,,,,271,12,Rough Work,,ST HELENABAAI PRIMER,,SKOOLSTRAAT,LAINGVILLE,LAINGVILLE,
1337,Staffing Direct Training Academy (Pty) Ltd,,administrator@staffingdirect.co.za,2 Gladstone Road Boston Bellville 7530,2 Gladstone Road Boston Bellville 7530,021-948 3451,,,2,Gladstone Road,,Boston Bellville,,7530,,,,,272,25,Rough Work,,,,2 Gladstone Road Boston Bellville 7530,,,7530
1338,Staffing Direct Training Academy Pty Ltd,,michelle@staffingdirect.co.za,P.O Box 704 Bellville 7535,2 Gladstone Street Boston Bellville Western Cape 7530,021- 948-3451,,,2,Gladstone Street,Boston,Bellville,Cape Town,7530,,,,,273,9,Rough Work,,,,2 Gladstone Street Boston Bellville Western Cape 7530,,,7530
1339,STALLION LEARNING CENTRE PTY LTD ,,info@stallion.co.za,,85 George Blake Road Plankenbrug Stellenbosch,011-533 8876,,,85,George Blake Road,,Plankenbrug Stellenbosch,,,,,,,274,18,Rough Work,,,,85 George Blake Road Plankenbrug Stellenbosch,,,
1340,STAWELKLIP PRIMER,,,,"STAWELKLIP PRIM, STAWELKLIP, PIKETBERG",022-9131309,,STAWELKLIP PRIM,,STAWELKLIP,,STAWELKLIP,PIKETBERG,,,,,,275,12,Rough Work,,STAWELKLIP PRIM,,STAWELKLIP,STAWELKLIP,PIKETBERG,
1342,STEENBERG ALC,,,,"SYMPHONY AVENUE, STEENBERG, STEENBERG",021-7011235,,,,SYMPHONY AVENUE,,STEENBERG,STEENBERG,,,,,,276,12,Rough Work,,,,SYMPHONY AVENUE,STEENBERG,STEENBERG,
1343,Stellenbosch Academy of Design and Photography (Pty) Ltd,,info@stellenboschacademy.co.za,P O Box 762 STELLENBOSCH 7600,"41 Techno Road, Techno Park, Stellenbosch, 7600",(021) 887-9899,,Techno Park,41,Techno Road,,Techno Park,Stellenbosch,7600,,Is Techno Park a building or Suburb,,,277,13,Rough Work,,Techno Park,41,Techno Road,Techno Park,Stellenbosch,7600
1344,STELLENBOSCH CLC,,,,"LUCKHOFF SEN SEC, BLOEKOM AVENUE, STELLENBOSCH",021-8828357,,LUCKHOFF SEN SEC,,BLOEKOM AVENUE,,STELLENBOSCH,STELLENBOSCH,,,,,,278,12,Rough Work,,LUCKHOFF SEN SEC,,BLOEKOM AVENUE,STELLENBOSCH,STELLENBOSCH,
1345,STELLENBOSCH PREMIER MANUFACTURERS T/A STELLENBOSCH NACO (Stellenbosch),,riaan@naco.co.za,"P O Box 773, STELLENBOSCH, 7599","8 Stoffel Smit Street, STELLENBOSCH, 7599",021 883-8531,,,8,Stoffel Smit Street,,STELLENBOSCH,STELLENBOSCH,7599,,,Duplicate Suburb/City,,279,8,Rough Work,,,,8 Stoffel Smit Street,STELLENBOSCH,,7599
1346,STEYNVILLE SEKONDER,,,,"AANDBLOM STREET, STEYNVILLE HOSTEL, PIKETBERG",022-9131309,,STEYNVILLE HOSTEL,,AANDBLOM STREET,,PIKETBERG,,,,,,,280,12,Rough Work,,STEYNVILLE HOSTEL,,AANDBLOM STREET,PIKETBERG,,
1349,STORMSVLEI,,,,"DISALAAN, RIVIERSONDEREND, RIVIERSONDEREND",028-2611286,,,,DISALAAN,,RIVIERSONDEREND,RIVIERSONDEREND,,,,,,281,12,Rough Work,,,,DISALAAN,RIVIERSONDEREND,RIVIERSONDEREND,
135,COOL CALL CC (Paarden Eiland),,,,,,,,10,Wallflower St,,Paarden Eiland,,7405,,,,,282,8,Rough Work,,,,,,,
1351,SUNNYSIDE GELETTERHEIDSENTRUM,,,,"THUSONG BUILDING, PADDY STREET, ROBERTSON",023-6262542,,THUSONG BUILDING,,PADDY STREET,,ROBERTSON,ROBERTSON,,,,,,283,12,Rough Work,,THUSONG BUILDING,,PADDY STREET,ROBERTSON,ROBERTSON,
1352,Supreme Skills Academy (Pty) Ltd (Goup Indigo),,mlouw@edufem.co.za,P O BOX 60023 Tableview 7441,42 Bloumhof Street Oakdale Belliville 7535,021-919 6482,,,42,Bloumhof Street,,Oakdale Belliville,,,,,,,284,25,Rough Work,,,,42 Bloumhof Street Oakdale Belliville 7535,,,7535
1353,Sustainability Institute Trust: Learning For Sustainability,,june@sustainabilityinstitue.net,P O BOX 162 LYNEDOCH 7603,Lynedoch Development R310 Lynedoch Stellenbosch 7603,021-881-3196,,,,Lynedoch Road,,Lynedoch Stellenbosch,,,,,,,285,25,Rough Work,,,,Lynedoch Development R310 Lynedoch Stellenbosch 7603,,,7603
1356,Swartland Boudienste (Edms) Bpk ,,mail@swartland.co.za,"Kotze Street Moorreesburg, 7310","Kotze Street Moorreesburg, 7310",,,,,Kotze Street,,Moorreesburg,,7310,,,,,286,23,Rough Work,,,,Kotze Street Moorreesburg,7310,,7310
1358,SWELLENDAM SECONDARY ALC,,,,"ANDREW WHYTESSTRAAT, SWELLENDAM, MONTAGU",028-5143324,,,,ANDREW WHYTESSTRAAT,,SWELLENDAM,MONTAGU,,,,,,287,12,Rough Work,,,,ANDREW WHYTESSTRAAT,SWELLENDAM,MONTAGU,
136,COOL MAINTENANCE (STIKLAND),,,,,,,Triangle Farm,,Thermo Street,,Stikland,,7530,,,,,288,8,Rough Work,,,,,,,
1360,SWIFT MICRO LABORATORIES (PTY) LTD,,deidre@swift.co.za,PO Box 22 Newlands 7725,7 Warrington Street Claremont,021-6838420,,,7,Warrington Street,,Claremont,Cape Town,7700,,,,,289,3,Rough Work,,,,7 Warrington Street Claremont,,,
1361,Targeted School Development Services,,antbec@openweb.co.za,112 Helderberg College Road Die Wingerd Somerset West 7130,112 Helderberg College Road Die Wingerd Somerset West 7130,021-8554807,,,112,Helderberg College Road,,Die Wingerd Somerset West,,,,,,,290,25,Rough Work,,,,112 Helderberg College Road Die Wingerd Somerset West 7130,,,7130
1363,Tenk Loubser (Cape Town) Ingelyf ,,tygervalley@exceed.co.za,"PO Box 5710
Tyger Valley, 7536","Old Oak Office Park
C/O Old Oak & Durban Roa d
Bellville, 7530",(0) 21 915 6666,,Old Oak Office Park,Cnr,Old Oak & Durban Road,,Bellville,Cape Town,7530,,,,,291,2,Rough Work,,Old Oak Office Park,Cnr,Old Oak & Durban Road,"d
Bellv",,7530
1365,TEST,,Justin@triclineducation.co.za,230 Main Road Paarl 7620,230 Main Road Paarl 7620,021-870 1055,,,230,Main Road,,Paarl,Paarl,7620,,,Duplicate Suburb/City,,292,19,Rough Work,,,,230 Main Road Paarl 7620,,,7620
1367,The Automobile Association of South Africa T/A AA Training Academy (PAROW) (DTTC),,,Steelbank Complex,Steelbank Complex,219349071,,Steelbank Complex,6,Reuben Kaye Road,,Parow Industria,,7500,,,,,293,11,Rough Work,,,,Steelbank Complex,,,
1368,THE CAPE SHOOTING ACADEMY WC ,,,,"KABACH BUILDING, 119 MAIN RD, PLUMSTEAD, WYNBERG, Western Cape, South Africa",021-7613633,,,119,MAIN RD,,Strand,,8700,,,,,294,18,Rough Work,,,,KABACH BUILDING,119 MAIN RD,,
1371,THE CRAGS,,,,"CRAGS PRIMARY, SKOOL STREET, THE GRAGS",044-5348840,,CRAGS PRIMARY,,SKOOL STREET,,THE GRAGS,THE GRAGS,,,,,,295,12,Rough Work,,CRAGS PRIMARY,,SKOOL STREET,THE GRAGS,THE GRAGS,
1372,The Educo Trust of Africa,,contact@educo.org.za,7 DALEGARTH ROAD  PLUMSTEAD WESTERN CAPE 7800,7 DALEGARTH ROAD  PLUMSTEAD WESTERN CAPE 7800,021-761 8939,,,7,DALEGARTH ROAD,,PLUMSTEAD,,,,,,,296,25,Rough Work,,,,7 DALEGARTH ROAD  PLUMSTEAD WESTERN CAPE 7800,,,7800
1373,THE FRESH FOODS ACADEMY (PTY) LTD,,richardm@pvg.co.za,PO Box 36415 Glosderry 7702,32 Benbow Avenue Epping Industria,021-5345560,,,32,Benbow Avenue,,Epping Industria,Cape Town,7460,,,,,297,3,Rough Work,,,,32 Benbow Avenue Epping Industria,,,
1374,The Fundamentals Training Centre,,noel@onlineftc.com,P.O. Box 20 Rondebosch 7701,17 Garland Dale Crescent  Garland Dale Athlone Cape Town 7764,021-696 5008,,,17,Garland Dale Crescent,,Garlandale Athlone,Cape Town,,,,,,298,25,Rough Work,,,,17 Garland Dale Crescent  Garland Dale Athlone Cape Town 7764,,,7764
1377,The Learning and Assessment Centre cc,,tlac@telkomsa.net,P O Box 2415 Knysna 6570,298 Captain W A Duthie Avenue Lake Brenton 6571,044-381 0244,,,298,Captain W A Duthie Avenue,,Lake Brenton Knysna,,,,,,,299,25,Rough Work,,,,298 Captain W A Duthie Avenue Lake Brenton 6571,,,6571
1378,The Novalis Institute,,,P O Box 53090 Kenilworth 7745,39 Rosmead Avenue  Wynberg Cape Town 7800,021-797 1857,,,39,Rosmead Avenue,,Wynberg,Cape Town,,,,,,300,25,Rough Work,,,,39 Rosmead Avenue  Wynberg Cape Town 7800,,,7800
138,D C ENGINEERING (TULBAGH),,celeste_christians@hotmail.com,"P O Box 53, Tulbagh","Straat kerk, Tulbagh",023 240 0369,,,,Straat kerk,,TULBAGH,TULBAGH,,,,Duplicate Suburb/City,,301,8,Rough Work,,,,Straat kerk,Tulbagh,,
1380,THE SOUTH AFRICAN SCHOOL OF PARALEGAL STUDIES ,,ppconsa@iafrica.com,PO Box 373 7701 Rondebosch,Greenwich Grove – Station Road 7700 Rondebosch,021-6869262,,,,Greenwich Grove – Station Road,,Rondebosch,,7700,,,,,302,18,Rough Work,,,,Greenwich Grove – Station Road 7700 Rondebosch,,,7700
1381,The Water Academy,,data@thewateracademy.co.za,66 Main Road 1st Floor Office 4 Knysna 6570,66 Main Road 1st Floor Office 4 Knysna 6570,(031) 208 7423; 0837500215,1st Floor,Office 4,66,Main Road,,Knysna,,,,,,,303,26,Rough Work,,,,66 Main Road 1st Floor Office 4 Knysna 6570,,,6570
